"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2","sampletime"
49759,"USGS-AZ","nwisaz.01.00000697","Sample-Routine","Water","Groundwater","2000-08-24 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343825109421501","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",19,"µg/L","NWIS",7782,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343825109421501","A-14-25 04CAB  UNSURV","Well","NULL",34.64031184,-109.7048314,"Interpolated from MAP.","NAD83","5426","feet","Interpolated from topographic map.","US",4,1,"NULL","250","feet","250","feet","NWIS",2000-08-24
37882,"USGS-AZ","nwisaz.01.00000629","Sample-Routine","Water","Groundwater","2000-08-02 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343853110073801","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7793,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343853110073801","A-15-21 33CDB","Well","NULL",34.64808838,-110.1278959,"Interpolated from MAP.","NAD83","5618","feet","Interpolated from topographic map.","US",4,17,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-02
99404,"USGS-AZ","nwisaz.01.00600446","Sample-Routine","Water","Groundwater","2006-06-16 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343931113534901","A-1710063 krblack@azwater.gov L-1710063 X=Date, time collected from sample","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1.2,"µg/L","NWIS",7802,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343931113534901","B-15-16 11ADA","Well","NULL",34.6585389,-113.8978044,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2940","feet","Interpolated from topographic map.","US",4,15,"NULL","NULL","NULL","NULL","NULL","NWIS",2006-06-16
37505,"USGS-AZ","nwisaz.01.00000630","Sample-Routine","Water","Groundwater","2000-08-01 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-343954110012401","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",3,"µg/L","NWIS",7806,"USGS-AZ","USGS Arizona Water Science Center","AZ014-343954110012401","A-15-22 28CAD","Well","NULL",34.6650329,-110.0240044,"Interpolated from MAP.","NAD83","5365","feet","Interpolated from topographic map.","US",4,17,"NULL","220","feet","220","feet","NWIS",2000-08-01
103386,"USGS-AZ","nwisaz.01.00800231","Sample-Routine","Water","Groundwater","2008-05-14 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344119114050101","L-1578701 per waterloo, lid on bottle arrived broken, smpl was run  sta name not entered, not unique, see 20081410045, paa, 5/20/08  RUR is the btl type for LC1043, paa","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1.2,"µg/L","NWIS",7837,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344119114050101","B-16-17 31BAC","Well","NULL",34.6885372,-114.0835877,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","1801","feet","Interpolated from topographic map.","US",4,15,"NULL","565","feet","565","feet","NWIS",2008-05-14
55024,"USGS-AZ","nwisaz.01.99000774","Sample-Routine","Water","Groundwater","1990-08-02 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344319114283101","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",10,"µg/L","NWIS",7866,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344319114283101","B-16-21 35CDD2","Well","NULL",34.72211829,-114.476072,"Interpolated from Digital MAP.","NAD83","510","feet","Interpolated from topographic map.","US",4,15,"NULL","150","feet","150","feet","NWIS",1990-08-02
54877,"USGS-AZ","nwisaz.01.99000753","Sample-Routine","Water","Groundwater","1990-08-01 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344351113543401","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7875,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344351113543401","B-16-16 14BCA2","Well","NULL",34.73084297,-113.910222,"Interpolated from MAP.","NAD83","3374","feet","Interpolated from topographic map.","US",4,15,"NULL","NULL","NULL","NULL","NULL","NWIS",1990-08-01
55095,"USGS-AZ","nwisaz.01.99000484","Sample-Routine","Water","Groundwater","1990-05-15 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344424114144301","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",2,"µg/L","NWIS",7882,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344424114144301","B-16-19 10CBC1","Well","NULL",34.73988,-114.2463817,"Differentially corrected Global Positioning System.","NAD83","1168.6","feet","Differentially corrected Global Positioning System.","US",4,15,"NULL","NULL","NULL","NULL","NULL","NWIS",1990-05-15
49789,"USGS-AZ","nwisaz.01.98900615","Sample-Routine","Water","Groundwater","1989-07-20 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344607114295001","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",4,"µg/L","NWIS",7907,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344607114295001","B-16-21 15CBD2","Well","NULL",34.7691118,-114.496559,"Differentially corrected Global Positioning System.","NAD83","548","feet","Differentially corrected Global Positioning System.","US",4,15,"NULL","150","feet","150","feet","NWIS",1989-07-20
143361,"USGS-AZ","nwisaz.01.99300648","Sample-Routine","Water","Groundwater","1993-07-27 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344643111303101","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7918,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344643111303101","A-16-08 16BAD","Well","NULL",34.77863215,-111.5093162,"Interpolated from MAP.","NAD83","6862","feet","Interpolated from topographic map.","US",4,5,"NULL","NULL","NULL","NULL","NULL","NWIS",1993-07-27
148547,"USGS-AZ","nwisaz.01.99400623","Sample-Routine","Water","Groundwater","1994-08-04 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344856111240601","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7931,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344856111240601","A-17-09 35AAB1","Spring","NULL",34.81557627,-111.4023692,"Interpolated from MAP.","NAD83","7830","feet","Interpolated from topographic map.","US",4,5,"NULL","NULL","NULL","NULL","NULL","NWIS",1994-08-04
53092,"USGS-AZ","nwisaz.01.99000754","Sample-Routine","Water","Groundwater","1990-08-01 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344907114065101","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",2,"µg/L","NWIS",7933,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344907114065101","B-17-17E31ABA","Well","NULL",34.81861845,-114.1149508,"Interpolated from MAP.","NAD83","1888","feet","Interpolated from topographic map.","US",4,15,"NULL","500","feet","500","feet","NWIS",1990-08-01
50522,"USGS-AZ","nwisaz.01.98900697","Sample-Routine","Water","Groundwater","1989-07-17 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-344954114083401","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",10,"µg/L","NWIS",7943,"USGS-AZ","USGS Arizona Water Science Center","AZ014-344954114083401","B-17-18 25ADB2","Well","NULL",34.83195148,-114.1441183,"Interpolated from MAP.","NAD83","1740","feet","Interpolated from topographic map.","US",4,15,"NULL","810","feet","1005","feet","NWIS",1989-07-17
184982,"USGS-AZ","nwisaz.01.00700095","Sample-Routine","Water","Groundwater","2007-05-08 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345212111452001","A-1350020 krblack@azwater.gov, paalex will send report","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",8.7,"µg/L","NWIS",7960,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345212111452001","A-17-06 08BDC","Well","NULL",34.8700173,-111.7562673,"Interpolated from MAP.","NAD83","4215","feet","Interpolated from topographic map.","US",4,5,"NULL","747","feet","747","feet","NWIS",2007-05-08
52006,"USGS-AZ","nwisaz.01.98900620","Sample-Routine","Water","Groundwater","1989-07-17 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345214113590801","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1,"µg/L","NWIS",7962,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345214113590801","B-17-16 08ADD","Well","NULL",34.87139647,-113.986337,"Interpolated from MAP.","NAD83","2935","feet","Interpolated from topographic map.","US",4,15,"NULL","125","feet","125","feet","NWIS",1989-07-17
100075,"USGS-AZ","nwisaz.01.00600513","Sample-Routine","Water","Groundwater","2006-06-21 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345227114085301","A-1780119 krblack@azwater.gov    Phone 602-771-1507","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",4,"µg/L","NWIS",7965,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345227114085301","B-17-18 12BDD","Well","NULL",34.87408985,-114.1487576,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","1837","feet","Interpolated from topographic map.","US",4,15,"NULL","NULL","NULL","NULL","NULL","NWIS",2006-06-21
37945,"USGS-AZ","nwisaz.01.00000632","Sample-Routine","Water","Groundwater","2000-08-02 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345310110122901","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7980,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345310110122901","A-17-20 10CAA","Well","NULL",34.88613734,-110.2087334,"Interpolated from MAP.","NAD83","5079","feet","Interpolated from topographic map.","US",4,17,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-02
38007,"USGS-AZ","nwisaz.01.00000633","Sample-Routine","Water","Groundwater","2000-08-02 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345312110122501","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",7981,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345312110122501","A-17-20 10DBB","Well","NULL",34.88669289,-110.2076223,"Interpolated from MAP.","NAD83","5072","feet","Interpolated from topographic map.","US",4,17,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-02
49883,"USGS-AZ","nwisaz.01.00000699","Sample-Routine","Water","Groundwater","2000-08-22 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345321109180301","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",2,"µg/L","NWIS",7985,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345321109180301","A-17-29 07ACA","Well","NULL",34.88919787,-109.3014879,"Interpolated from MAP.","NAD83","6127","feet","Interpolated from topographic map.","US",4,1,"NULL","180","feet","180","feet","NWIS",2000-08-22
44305,"USGS-AZ","nwisaz.01.00800198","Sample-Routine","Water","Groundwater","2008-06-19 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345340110193001","A-1790278 krblack@azwater.gov  Phone: 602-771-1515","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.66,"µg/L","NWIS",7991,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345340110193001","A-17-19 04DDC","Well","NULL",34.89447,-110.3256803,"Interpolated from MAP.","NAD83","5082.6","feet","Level or other surveyed method.","US",4,17,"NULL","550","feet","550","feet","NWIS",2008-06-19
43864,"USGS-AZ","nwisaz.01.00700160","Sample-Routine","Water","Groundwater","2007-06-05 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345415110200801","A-1630088 krblack@azwater.gov,paalex will send report L-1630088 schedule 2168 added per henry,paa,6/18/07","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",0.27,"µg/L","NWIS",8001,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345415110200801","A-17-19 04BDB","Well","NULL",34.90419199,-110.336236,"Interpolated from MAP.","NAD83","5015.4","feet","Level or other surveyed method.","US",4,17,"NULL","430","feet","430","feet","NWIS",2007-06-05
30596,"USGS-AZ","nwisaz.01.99400402","Sample-Routine","Water","Groundwater","1994-05-25 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345444110192501","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",8006,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345444110192501","A-18-19 33DAD2","Well","NULL",34.91224738,-110.3242914,"Interpolated from MAP.","NAD83","5014.4","feet","Level or other surveyed method.","US",4,17,"NULL","410","feet","410","feet","NWIS",1994-05-25
50256,"USGS-AZ","nwisaz.01.00000702","Sample-Routine","Water","Groundwater","2000-08-23 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345508109312301","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",1,"µg/L","NWIS",8013,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345508109312301","A-18-26 36AAD2","Well","NULL",34.91891658,-109.5237193,"Interpolated from MAP.","NAD83","6110","feet","Interpolated from topographic map.","US",4,1,"NULL","NULL","NULL","NULL","NULL","NWIS",2000-08-23
143088,"USGS-AZ","nwisaz.01.99300653","Sample-Routine","Water","Groundwater","1993-07-26 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-345846111444301","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",5,"µg/L","NWIS",8040,"USGS-AZ","USGS Arizona Water Science Center","AZ014-345846111444301","A-18-06 04BBA","Well","NULL",34.9794596,-111.7459927,"Interpolated from MAP.","NAD83","5280","feet","Interpolated from topographic map.","US",4,5,"NULL","NULL","NULL","NULL","NULL","NWIS",1993-07-26
104055,"USGS-AZ","nwisaz.01.00800232","Sample-Routine","Water","Groundwater","2008-03-10 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-350222114103001","L-0998713 X = Station Name on samples = (B-19-18)- 15AAA)    Received March 15,2008  Corrected as per M. Truini, charlene grall, 4-8-08","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",5.2,"µg/L","NWIS",8054,"USGS-AZ","USGS Arizona Water Science Center","AZ014-350222114103001","B-19-18 15AAA","Well","NULL",35.03947576,-114.1756758,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2280","feet","Interpolated from topographic map.","US",4,15,"NULL","NULL","NULL","NULL","NULL","NWIS",2008-03-10
96206,"USGS-AZ","nwisaz.01.00600447","Sample-Routine","Water","Groundwater","2006-06-20 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-350247114102901","A-1780136 krblack@azwater.gov    Phone 602-771-1507","Not applicable","Not applicable","USGS","USGS","USGS","Unknown","NULL","As","Dissolved",7.1,"µg/L","NWIS",8062,"USGS-AZ","USGS Arizona Water Science Center","AZ014-350247114102901","B-19-18 10DAA","Well","NULL",35.0465033,-114.1755647,"Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83","2307.5","feet","Level or other surveyed method.","US",4,15,"NULL","1525","feet","1540","feet","NWIS",2006-06-20
56422,"USGS-AZ","nwisaz.01.99000770","Sample-Routine","Water","Groundwater","1990-08-08 00:00:00","NULL","Ariz. Dept. of Water Resources","AZ014-350439114114701","NULL","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","Not Detected","As","Dissolved",0,"µg/L","NWIS",8076,"USGS-AZ","USGS Arizona Water Science Center","AZ014-350439114114701","B-20-18 33ADC","Well","NULL",35.07750224,-114.1971764,"Interpolated from MAP.","NAD83","2345","feet","Interpolated from topographic map.","US",4,15,"NULL","695","feet","695","feet","NWIS",1990-08-08
