#
#
# US Geological Survey
# retrieved: 2025-10-17 19:19:23 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:19:23 EDT
#
# there are 202 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
USGS	362438109144001	11 051-13.64X06.17
USGS	362445109133101	11 051-12.58X06.00
USGS	362452109135201	11 051-12.90X05.88
USGS	362500109131501	11 051-12.33X05.74
USGS	362505109134301	11 051-12.76X05.60
USGS	362517109134401	11 051-12.78X05.38
USGS	362627109381701	10 053-07.69X04.09
USGS	362819109272601	11 052-11.51X01.92
USGS	362913109270901	11 052-11.25X00.90
USGS	362938109361301	10 053-05.76X00.43
USGS	362956109242801	11 052-08.77X00.07
USGS	363040109282001	11 035-12.31X16.41
USGS	363158109205201	11 035-05.42X14.95
USGS	363251109311201	11 036-01.12X13.95
USGS	363338109263101	11 035-10.65X13.05
USGS	363438109223601	11 035-07.05X11.91
USGS	363603109223601	11 035-07.05X10.22
USGS	363609109280001	11 035-12.03X10.14
USGS	364352112563301	B-38-06 04ABB1 [YELLOWSTONE SPRING]
USGS	364557111360301	03 029-05.59X16.13
USGS	364634112521001	B-39-05 18DCB
USGS	364702112544801	B-39-06 14BCA
USGS	364720112553901	B-39-06 10CDD
USGS	364740112532901	B-39-06 12CAA2
USGS	364742112532701	B-39-06 12CAA1
USGS	364807112511201	B-39-05 08ABB
USGS	364813112532101	B-39-06 01DCC
USGS	364817112523701	B-39-05 06CCA
USGS	364850112492801	B-39-05 03BBD
USGS	364850112540001	B-39-06 02AAD
USGS	364851112493601	B-39-05 03BBC
USGS	364854112495001	B-39-05 04AAC
USGS	364858112485101	B-39-05 03ABA
USGS	364858112511601	B-39-05 05BAA
USGS	364952112571401	B-40-06 32AAA
USGS	365043112572301	B-40-06 29AAB
USGS	365044112545501	B-40-06 26BBB
USGS	365049112502601	B-40-05 21CCD
USGS	365117110155001	565525 4078822
USGS	365138112560801	B-40-06 21AAA1
USGS	365347112444301	B-40-04 05ACC1
USGS	365643112593001	B-41-07 24AAA
USGS	365650110172901	08 024-02.27X03.65
USGS	365650112372601	B-41-03 16CDC  UNSURV
USGS	365654113032001	B-41-07 16CDD
USGS	365738112390801	B-41-03 18     UNSURV
USGS	365747112343001	B-41-03 12CCB  UNSURV
USGS	365820112410701	B-41-04 11A    UNSURV
USGS	365829112360101	B-41-03 10ABA
USGS	365833110175301	08 024-02.65X01.68
USGS	365856112332401	B-41-02 06CBB
USGS	365911112594701	B-41-07 01ABD
USGS	365915112361001	B-41-03 03A  1 UNSURV
USGS	365928112175201	A-42-01 31DDD [JOHNSON SPRING]
USGS	370318113361101	 (C-43-16)12ccb- 1
USGS	370417113331601	 (C-43-15) 5dbd- 1
USGS	370515113310302	 (C-42-15)34dba- 1
USGS	370626110402001	NR013.0950X0985
USGS	370640113380201	 (C-42-16)22cdd- 1
USGS	370859113013001	 (C-42-10) 7bdd- 1
USGS	370903113012801	 (C-42-10) 7bda-S1
USGS	370904113095601	 (C-42-12)11adb- 1
USGS	370910113095601	 (C-42-12)11aac- 1
USGS	370919110335501	NR013.0359X0654
USGS	370920113012501	 (C-42-10) 7acb- 1
USGS	370935113100501	 (C-42-12) 2dcd- 1
USGS	370937110335301	NR013.0356X0619
USGS	371109110332501	 (D-41-12)35bbb-S1
USGS	371113110332801	 (D-41-12)26ccc- 1
USGS	371118110335401	 (D-41-12)27dca- 1
USGS	371118110340601	 (D-41-12)27cda- 1
USGS	371119110340001	 (D-41-12)27dcb- 1
USGS	371120110334901	NR013.0350X0422
USGS	371124110340501	 (D-41-12)27cad- 1
USGS	371127110335501	 (D-41-12)27dbc- 1
USGS	371130110334901	 (D-41-12)27dbd- 1
USGS	371131110334301	 (D-41-12)27dab- 4
USGS	371131110334601	 (D-41-12)27dab- 3
USGS	371132110334201	 (D-41-12)27dab- 5
USGS	371134110340801	 (D-41-12)27caa- 1
USGS	371135110334101	 (D-41-12)27dab- 6
USGS	371135110334701	 (D-41-12)27dba- 1
USGS	371136110334401	 (D-41-12)27dab- 2
USGS	371136110341101	 (D-41-12)27cab- 1
USGS	371137110334201	 (D-41-12)27dab- 1
USGS	371138110332901	 (D-41-12)26bcc- 1
USGS	371138110333601	 (D-41-12)27add- 1
USGS	371138110340701	 (D-41-12)27bdd- 1
USGS	371140110335101	 (D-41-12)27acd- 1
USGS	371141110333001	 (D-41-12)26bcc- 2
USGS	371141110333301	 (D-41-12)27add- 2
USGS	371142110334401	 (D-41-12)27adc- 1
USGS	371143110332401	 (D-41-12)26bcc- 3
USGS	371143110335501	 (D-41-12)27acc- 1
USGS	371144110340201	 (D-41-12)27acb- 2
USGS	371146110334701	 (D-41-12)27aca- 1
USGS	371146110340501	 (D-41-12)27bda- 1
USGS	371146112593601	 (C-41-10)28bca- 1
USGS	371148110340101	 (D-41-12)27acb- 1
USGS	371150110335201	 (D-41-12)27aca- 2
USGS	371153110335101	 (D-41-12)22abd- 1
USGS	371153110335301	NR013.0357X0358
USGS	371153110340001	 (D-41-12)27abc- 1
USGS	371156110340601	 (D-41-12)27bad- 1
USGS	371157110335001	 (D-41-12)27aba- 1
USGS	371157110335601	 (D-41-12)27abb- 1
USGS	371200110334901	NR013.0351X0345
USGS	371200110335101	 (D-41-12)27aba- 2
USGS	371201110340401	 (D-41-12)27baa- 1
USGS	371204110335301	 (D-41-12)22dcd- 1
USGS	371207110335301	 (D-41-12)22dcd- 2
USGS	371207110340401	 (D-41-12)22cdd- 1
USGS	371211110340401	 (D-41-12)22cda- 1
USGS	371212110335001	 (D-41-12)22dca- 1
USGS	371215110335001	 (D-41-12)22dca- 2
USGS	371215110340101	 (D-41-12)22dcb- 1
USGS	371217110334901	 (D-41-12)22dbd- 2
USGS	371218110303101	NR013.0047X0310
USGS	371218110334801	 (D-41-12)22dbd- 3
USGS	371218110335801	 (D-41-12)22dbc- 1
USGS	371220110335701	 (D-41-12)22dbc- 2
USGS	371222110335401	 (D-41-12)22dbd- 1
USGS	371224110335301	 (D-41-12)22dba- 2
USGS	371226110334701	 (D-41-12)22dba- 3
USGS	371227110334601	 (D-41-12)22dab- 1
USGS	371227110335101	 (D-41-12)22dba- 1
USGS	371230110333901	 (D-41-12)22dab- 2
USGS	371230113171801	 (C-41-13)23bcd- 1
USGS	371231110334301	 (D-41-12)22adc- 3
USGS	371233110333801	 (D-41-12)22adc- 2
USGS	371233110334101	 (D-41-12)22adc- 4
USGS	371234110334201	 (D-41-12)22adc- 1
USGS	371235110333401	 (D-41-12)22add- 1
USGS	371236110333901	 (D-41-12)22ada- 1
USGS	371237110333601	 (D-41-12)22ada- 2
USGS	371323110331601	NR013.0300X0185
USGS	371408113162201	 (C-41-13)12cbb- 1
USGS	372752109230501	 (D-38-23)22ccb- 1
USGS	372838109200001	 (D-38-23)13ddc- 1
USGS	373824110025300	 (D-36-17)21cad- 1
USGS	374414111591001	 (C-35- 2)27aa -
USGS	381325111160800	 JOBIN (BULL 1124) NO.32
USGS	402010109032901	 (D- 5-25)36ccc- 1
USGS	403030109351001	 (D- 3-21)20baa- 1
USGS	403133109364102	 (D- 3-21)30cbd- 2
USGS	403248109392001	 (D- 3-20)22aad- 1
